DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,AREA,CLASE,FEX_C,DPTO,ANO,MES,PERIODO,REGIS,P6290,P6230,P6240,P6250,P6260,P6270,P6280,P6300,P6310,P6320,P6330,P6340,P6350,P6351,RABAND,FT
4731618,1,1,1,05,1,1327.6148868,05,2018,10,201810,50,,1,6,2,2,2,2,2,,,,,,,,1
4731618,1,2,1,05,1,1327.6148868,05,2018,10,201810,50,,2,1,,,,,,,,,,,,,1
4731618,1,3,1,05,1,1327.6148868,05,2018,10,201810,50,,3,4,2,2,2,2,2,,,,,,,,1
4731619,1,1,1,05,1,1275.2336315,05,2018,10,201810,50,,1,1,,,,,,,,,,,,,1
4731619,1,2,1,05,1,1275.2336315,05,2018,10,201810,50,,2,4,2,2,2,2,2,,,,,,,,1
4731619,1,3,1,05,1,1275.2336315,05,2018,10,201810,50,,3,4,2,2,2,2,2,,,,,,,,1
4731619,1,4,1,05,1,1275.2336315,05,2018,10,201810,50,,4,1,,,,,,,,,,,,,1
4731619,1,5,1,05,1,1275.2336315,05,2018,10,201810,50,,5,1,,,,,,,,,,,,,1
4731620,1,1,1,05,1,816.50277348,05,2018,10,201810,50,,1,1,,,,,,,,,,,,,1
4731620,1,2,1,05,1,816.50277348,05,2018,10,201810,50,,2,4,2,2,2,2,2,,,,,,,,1
4731620,1,3,1,05,1,816.50277348,05,2018,10,201810,50,,3,1,,,,,,,,,,,,,1
4731620,1,5,1,05,1,816.50277348,05,2018,10,201810,50,,2,1,,,,,,,,,,,,,1
4731621,1,1,1,05,1,597.03197014,05,2018,10,201810,50,,1,4,1,,,,,,,,,,,,1
4731621,1,2,1,05,1,597.03197014,05,2018,10,201810,50,,2,1,,,,,,,,,,,,,1
4731621,1,3,1,05,1,597.03197014,05,2018,10,201810,50,,3,1,,,,,,,,,,,,,1
4731621,1,4,1,05,1,597.03197014,05,2018,10,201810,50,,4,1,,,,,,,,,,,,,1
4731621,1,5,1,05,1,597.03197014,05,2018,10,201810,50,,1,1,,,,,,,,,,,,,1
4731622,1,1,1,05,1,1173.2860913,05,2018,10,201810,50,,1,1,,,,,,,,,,,,,1
